age_group,gender,event,course,B,BB,A,AA,AAA,AAAA
11-12,Boys,50 FR,SCM,36.29,33.69,31.09,29.79,28.49,27.19
11-12,Boys,100 FR,SCM,1:18.99,1:13.29,1:07.69,1:04.89,1:02.09,59.19
11-12,Boys,200 FR,SCM,2:52.39,2:40.09,2:27.79,2:21.59,2:15.49,2:09.29
11-12,Boys,400 FR,SCM,6:07.49,5:41.19,5:14.99,5:01.79,4:48.69,4:35.59
11-12,Boys,800 FR,SCM,12:53.09,11:57.89,11:02.59,10:34.99,10:07.39,9:39.79
11-12,Boys,1500 FR,SCM,24:18.89,22:34.69,20:50.49,19:58.39,19:06.29,18:14.19
11-12,Boys,50 BK,SCM,42.59,39.29,36.09,34.49,32.79,31.19
11-12,Boys,100 BK,SCM,1:30.79,1:23.69,1:16.49,1:12.89,1:09.39,1:05.79
11-12,Boys,200 BK,SCM,3:10.99,2:57.39,2:43.69,2:36.89,2:30.09,2:23.29
11-12,Boys,50 BR,SCM,48.09,44.29,40.49,38.59,36.69,34.89
11-12,Boys,100 BR,SCM,1:42.29,1:34.49,1:26.69,1:22.79,1:18.89,1:14.99
11-12,Boys,200 BR,SCM,3:37.09,3:21.59,3:06.09,2:58.29,2:50.59,2:42.79
11-12,Boys,50 FL,SCM,40.99,37.69,34.49,32.79,31.19,29.59
11-12,Boys,100 FL,SCM,1:31.59,1:24.09,1:16.49,1:12.79,1:08.99,1:05.29
11-12,Boys,200 FL,SCM,3:15.09,3:01.19,2:47.19,2:40.29,2:33.29,2:26.29
11-12,Boys,100 IM,SCM,1:30.49,1:23.89,1:17.29,1:13.99,1:10.69,1:07.49
11-12,Boys,200 IM,SCM,3:18.09,3:03.19,2:48.29,2:40.89,2:33.39,2:25.99
11-12,Boys,400 IM,SCM,6:56.69,6:26.89,5:57.19,5:42.29,5:27.39,5:12.49
11-12,Boys,200 FR-R,SCM,2:33.69,2:22.79,2:11.79,2:06.29,2:00.79,1:55.29
11-12,Boys,400 FR-R,SCM,5:38.99,5:14.69,4:50.49,4:38.39,4:26.29,4:14.19
11-12,Boys,200 MED-R,SCM,2:50.29,2:38.19,2:25.99,2:19.89,2:13.79,2:07.79
11-12,Boys,400 MED-R,SCM,6:15.39,5:48.59,5:21.79,5:08.39,4:54.99,4:41.59
13-14,Girls,50 FR,SCM,35.99,33.39,30.79,29.49,28.29,26.99
13-14,Girls,100 FR,SCM,1:18.49,1:12.89,1:07.29,1:04.49,1:01.69,58.89
13-14,Girls,200 FR,SCM,2:49.79,2:37.69,2:25.49,2:19.49,2:13.39,2:07.29
13-14,Girls,400 FR,SCM,6:00.69,5:34.99,5:09.19,4:56.29,4:43.39,4:30.59
13-14,Girls,800 FR,SCM,12:24.69,11:31.49,10:38.29,10:11.69,9:45.09,9:18.49
13-14,Girls,1500 FR,SCM,23:34.29,21:53.29,20:12.29,19:21.79,18:31.29,17:40.79
13-14,Girls,50 BK,SCM,39.99,37.19,34.29,32.89,31.49,29.99
13-14,Girls,100 BK,SCM,1:24.99,1:18.89,1:12.89,1:09.79,1:06.79,1:03.79
13-14,Girls,200 BK,SCM,3:03.89,2:50.69,2:37.59,2:30.99,2:24.49,2:17.89
13-14,Girls,50 BR,SCM,46.49,43.19,39.89,38.19,36.49,34.89
13-14,Girls,100 BR,SCM,1:37.99,1:30.99,1:23.99,1:20.49,1:16.99,1:13.49
13-14,Girls,200 BR,SCM,3:31.09,3:15.99,3:00.89,2:53.39,2:45.89,2:38.29
13-14,Girls,50 FL,SCM,39.59,36.79,33.89,32.49,31.09,29.69
13-14,Girls,100 FL,SCM,1:24.89,1:18.79,1:12.79,1:09.69,1:06.69,1:03.69
13-14,Girls,200 FL,SCM,3:09.19,2:55.69,2:42.19,2:35.39,2:28.59,2:21.89
13-14,Girls,200 IM,SCM,3:09.79,2:56.19,2:42.69,2:35.89,2:29.09,2:22.39
13-14,Girls,400 IM,SCM,6:44.19,6:15.29,5:46.39,5:31.99,5:17.59,5:03.09
13-14,Girls,200 FR-R,SCM,2:30.59,2:19.89,2:09.09,2:03.69,1:58.39,1:52.99
13-14,Girls,400 FR-R,SCM,5:28.49,5:04.99,4:41.59,4:29.79,4:18.09,4:06.39
13-14,Girls,800 FR-R,SCM,11:57.29,11:06.09,10:14.89,9:49.19,9:23.59,8:57.99
13-14,Girls,200 MED-R,SCM,2:45.59,2:33.79,2:21.89,2:15.99,2:10.09,2:04.19
13-14,Girls,400 MED-R,SCM,6:01.29,5:35.49,5:09.69,4:56.79,4:43.89,4:30.99
13-14,Boys,50 FR,SCM,32.99,30.69,28.29,27.09,25.89,24.79
13-14,Boys,100 FR,SCM,1:11.79,1:06.69,1:01.49,58.99,56.39,53.89
13-14,Boys,200 FR,SCM,2:37.49,2:26.19,2:14.99,2:09.39,2:03.69,1:58.09
13-14,Boys,400 FR,SCM,5:37.49,5:13.39,4:49.29,4:37.29,4:25.19,4:13.19
13-14,Boys,800 FR,SCM,11:38.19,10:48.39,9:58.49,9:33.59,9:08.59,8:43.69
13-14,Boys,1500 FR,SCM,22:14.89,20:39.49,19:04.19,18:16.49,17:28.79,16:41.19
13-14,Boys,50 BK,SCM,37.19,34.59,31.89,30.59,29.19,27.89
13-14,Boys,100 BK,SCM,1:18.79,1:13.09,1:07.49,1:04.69,1:01.89,59.09
13-14,Boys,200 BK,SCM,2:50.99,2:38.69,2:26.49,2:20.39,2:14.29,2:08.19
13-14,Boys,50 BR,SCM,42.59,39.59,36.49,34.99,33.49,31.99
13-14,Boys,100 BR,SCM,1:28.99,1:22.59,1:16.29,1:13.09,1:09.89,1:06.79
13-14,Boys,200 BR,SCM,3:13.19,2:59.39,2:45.59,2:38.69,2:31.79,2:24.89
13-14,Boys,50 FL,SCM,36.59,33.99,31.39,30.09,28.79,27.49
13-14,Boys,100 FL,SCM,1:17.89,1:12.29,1:06.79,1:03.99,1:01.19,58.39
13-14,Boys,200 FL,SCM,2:53.29,2:40.89,2:28.49,2:22.39,2:16.19,2:09.99
13-14,Boys,200 IM,SCM,2:54.49,2:42.09,2:29.59,2:23.39,2:17.09,2:10.89
13-14,Boys,400 IM,SCM,6:13.19,5:46.49,5:19.89,5:06.49,4:53.19,4:39.89
13-14,Boys,200 FR-R,SCM,2:18.09,2:08.19,1:58.39,1:53.39,1:48.49,1:43.59
13-14,Boys,400 FR-R,SCM,5:01.79,4:40.29,4:18.69,4:07.89,3:57.19,3:46.39
13-14,Boys,800 FR-R,SCM,11:07.79,10:20.09,9:32.39,9:08.59,8:44.69,8:20.89
13-14,Boys,200 MED-R,SCM,2:32.69,2:21.79,2:10.89,2:05.49,1:59.99,1:54.59
13-14,Boys,400 MED-R,SCM,5:30.69,5:07.09,4:43.49,4:31.69,4:19.89,4:07.99
15-16,Girls,50 FR,SCM,35.09,32.59,30.09,28.89,27.59,26.39
15-16,Girls,100 FR,SCM,1:15.99,1:10.49,1:05.09,1:02.39,59.69,56.99
15-16,Girls,200 FR,SCM,2:44.69,2:32.89,2:21.19,2:15.29,2:09.39,2:03.49
15-16,Girls,400 FR,SCM,5:50.89,5:25.79,5:00.79,4:48.19,4:35.69,4:23.19
15-16,Girls,800 FR,SCM,12:08.79,11:16.79,10:24.69,9:58.69,9:32.69,9:06.59
15-16,Girls,1500 FR,SCM,23:07.49,21:28.39,19:49.29,18:59.77,18:10.19,17:20.69
15-16,Girls,100 BK,SCM,1:22.59,1:16.69,1:10.79,1:07.79,1:04.89,1:01.99
15-16,Girls,200 BK,SCM,2:59.29,2:46.49,2:33.69,2:27.29,2:20.89,2:14.49
15-16,Girls,100 BR,SCM,1:34.99,1:28.19,1:21.39,1:17.99,1:14.59,1:11.19
15-16,Girls,200 BR,SCM,3:25.49,3:10.89,2:56.19,2:48.79,2:41.49,2:34.19
15-16,Girls,100 FL,SCM,1:22.19,1:16.29,1:10.39,1:07.49,1:04.59,1:01.59
15-16,Girls,200 FL,SCM,3:03.19,2:50.09,2:37.09,2:30.49,2:23.99,2:17.39
15-16,Girls,200 IM,SCM,3:03.59,2:50.49,2:37.39,2:30.79,2:24.29,2:17.69
15-16,Girls,400 IM,SCM,6:32.29,6:04.29,5:36.29,5:22.29,5:08.19,4:54.19
15-16,Girls,200 FR-R,SCM,2:29.39,2:18.79,2:08.09,2:02.79,1:57.39,1:52.09
15-16,Girls,400 FR-R,SCM,5:25.89,5:02.59,4:39.29,4:27.69,4:15.99,4:04.39
15-16,Girls,800 FR-R,SCM,11:55.79,11:04.69,10:13.59,9:47.99,9:22.49,8:56.89
15-16,Girls,200 MED-R,SCM,2:43.59,2:31.99,2:20.29,2:14.39,2:08.59,2:02.69
15-16,Girls,400 MED-R,SCM,5:57.19,5:31.69,5:06.19,4:53.39,4:40.69,4:27.89
15-16,Boys,50 FR,SCM,31.19,28.99,26.79,25.69,24.59,23.39
15-16,Boys,100 FR,SCM,1:08.49,1:03.69,58.79,56.29,53.89,51.39
15-16,Boys,200 FR,SCM,2:30.29,2:19.59,2:08.89,2:03.49,1:58.09,1:52.79
15-16,Boys,400 FR,SCM,5:22.39,4:59.39,4:36.29,4:24.79,4:13.29,4:01.79
15-16,Boys,800 FR,SCM,11:15.29,10:27.09,9:38.89,9:14.79,8:50.59,8:26.49
15-16,Boys,1500 FR,SCM,21:18.89,19:47.59,18:16.19,17:30.49,16:44.89,15:59.19
15-16,Boys,100 BK,SCM,1:14.59,1:09.29,1:03.99,1:01.29,58.59,55.99
15-16,Boys,200 BK,SCM,2:43.09,2:31.49,2:19.79,2:13.99,2:08.19,2:02.39
15-16,Boys,100 BR,SCM,1:24.99,1:18.89,1:12.79,1:09.79,1:06.79,1:03.69
15-16,Boys,200 BR,SCM,3:04.59,2:51.39,2:38.29,2:31.69,2:25.09,2:18.49
15-16,Boys,100 FL,SCM,1:14.29,1:08.99,1:03.69,1:00.99,58.39,55.69
15-16,Boys,200 FL,SCM,2:45.99,2:34.19,2:22.29,2:16.39,2:10.39,2:04.49
15-16,Boys,200 IM,SCM,2:46.79,2:34.89,2:22.99,2:16.99,2:11.09,2:05.09
15-16,Boys,400 IM,SCM,5:55.99,5:30.59,5:05.19,4:52.39,4:39.69,4:26.99
15-16,Boys,200 FR-R,SCM,2:14.59,2:04.99,1:55.39,1:50.59,1:45.79,1:40.99
15-16,Boys,400 FR-R,SCM,4:57.09,4:35.79,4:14.59,4:03.99,3:53.39,3:42.79
15-16,Boys,800 FR-R,SCM,10:59.69,10:12.59,9:25.49,9:01.89,8:38.39,8:14.79
15-16,Boys,200 MED-R,SCM,2:28.29,2:17.69,2:07.09,2:01.79,1:56.49,1:51.19
15-16,Boys,400 MED-R,SCM,5:25.09,5:01.89,4:38.69,4:27.09,4:15.39,4:03.79
17-18,Girls,50 FR,SCM,34.69,32.19,29.69,28.49,27.19,25.99
17-18,Girls,100 FR,SCM,1:15.19,1:09.89,1:04.49,1:01.79,59.09,56.39
17-18,Girls,200 FR,SCM,2:42.69,2:31.09,2:19.39,2:13.59,2:07.79,2:01.99
17-18,Girls,400 FR,SCM,5:46.89,5:22.19,4:57.39,4:44.99,4:32.59,4:20.19
17-18,Girls,800 FR,SCM,12:02.79,11:11.19,10:19.59,9:53.69,9:27.89,9:02.09
17-18,Girls,1500 FR,SCM,22:38.99,21:01.99,19:24.89,18:36.39,17:47.79,16:59.29
17-18,Girls,100 BK,SCM,1:21.09,1:15.29,1:09.49,1:06.59,1:03.69,1:00.79
17-18,Girls,200 BK,SCM,2:55.39,2:42.89,2:30.39,2:24.09,2:17.79,2:11.59
17-18,Girls,100 BR,SCM,1:33.69,1:27.09,1:20.39,1:16.99,1:13.69,1:10.29
17-18,Girls,200 BR,SCM,3:24.09,3:09.49,2:54.89,2:47.59,2:40.39,2:33.09
17-18,Girls,100 FL,SCM,1:21.29,1:15.49,1:09.69,1:06.79,1:03.89,1:00.99
17-18,Girls,200 FL,SCM,2:59.89,2:46.99,2:34.19,2:27.69,2:21.29,2:14.89
17-18,Girls,200 IM,SCM,3:00.69,2:47.79,2:34.89,2:28.49,2:21.99,2:15.59
17-18,Girls,400 IM,SCM,6:27.49,5:59.79,5:32.09,5:18.29,5:04.49,4:50.59
17-18,Girls,200 FR-R SCM,2:28.79,2:18.19,2:07.59,2:02.29,1:56.89,1:51.59
17-18,Girls,400 FR-R,SCM,5:19.89,4:57.09,4:34.19,4:22.79,4:11.39,3:59.89
17-18,Girls,800 FR-R,SCM,11:38.69,10:48.79,9:58.89,9:33.99,9:08.99,8:43.99
17-18,Girls,200 MED-R,SCM,2:42.29,2:30.69,2:19.09,2:13.29,2:07.49,2:01.69
17-18,Girls,400 MED-R,SCM,5:53.89,5:28.59,5:03.39,4:50.69,4:38.09,4:25.39
17-18,Boys,50,FR,SCM,30.39,28.29,26.19,24.99,23.89,22.79
17-18,Boys,100,FR,SCM,1:06.69,1:01.89,57.19,54.79,52.39,49.99
17-18,Boys,200,FR,SCM,2:27.59,2:17.09,2:06.49,2:01.29,1:55.99,1:50.69
17-18,Boys,400,FR,SCM,5:17.79,4:55.09,4:32.39,4:21.09,4:09.69,3:58.39
17-18,Boys,800,FR,SCM,11:05.19,10:17.69,9:30.19,9:06.39,8:42.69,8:18.89
17-18,Boys,1500,FR,SCM,21:01.39,19:31.29,18:01.19,17:16.19,16:31.09,15:46.09
17-18,Boys,100,BK,SCM,1:12.09,1:06.89,1:01.79,59.19,56.59,54.09
17-18,Boys,200,BK,SCM,2:38.99,2:27.59,2:16.29,2:10.59,2:04.89,1:59.29
17-18,Boys,100,BR,SCM,1:22.49,1:16.59,1:10.69,1:07.79,1:04.89,1:01.89
17-18,Boys,200,BR,SCM,2:59.29,2:46.49,2:33.69,2:27.29,2:20.89,2:14.49
17-18,Boys,100,FL,SCM,1:12.29,1:07.09,1:01.99,59.39,56.79,54.19
17-18,Boys,200,FL,SCM,2:41.79,2:30.19,2:18.69,2:12.89,2:07.09,2:01.39
17-18,Boys,200,IM,SCM,2:42.89,2:31.29,2:19.59,2:13.79,2:07.99,2:02.19
17-18,Boys,400,IM,SCM,5:50.69,5:25.59,5:00.59,4:48.09,4:35.49,4:22.99
17-18,Boys,200,FR-R,SCM,2:07.69,1:58.59,1:49.49,1:44.89,1:40.29,1:35.79
17-18,Boys,400,FR-R,SCM,4:40.39,4:20.39,4:00.39,3:50.39,3:40.39,3:30.29
17-18,Boys,800,FR-R,SCM,10:23.09,9:38.59,8:54.09,8:31.89,8:09.59,7:47.39
17-18,Boys,200,MED-R,SCM,2:19.49,2:09.49,1:59.59,1:54.59,1:49.59,1:44.59
17-18,Boys,400,MED-R,SCM,5:05.89,4:44.09,4:22.19,4:11.29,4:00.39,3:49.39
